INS,DATE,OP,HIG,LOW,CLS,VOL,TOVR,NOTR,VWAP,CIT,CIV,CITR,COT,COV,COTR,CHG,PCHG,PCLS,ANN,SACT,PRV,LTP,MCAP,BBP,BAP
0,20120315,497.200012,497.200012,497.200012,497.200012,1000,497200,2,497.200012,497200.01,1000,2,49560,100,1,1.6,0.32,495.600006,0,null,null,0,0,0,0
0,20120319,500,500,500,500,100,50000,3,500,0,0,0,50000,100,3,-0.7,-0.14,500.700012,0,null,null,0,0,0,0
0,20120322,510,510,510,510,2000,1020000,3,510,0,0,0,1020000,2000,3,0,0,510,0,null,null,0,0,0,0
0,20120404,600,600,590,595,82350,4.90E+07,31,595.06,4612979.3,7717,23,4.44E+07,74633,8,11.7,2,585.29999,0,null,null,0,0,0,0
0,20120405,590,600,590,599,13379,8011481.5,26,598.81,7300067.5,12188,19,711414,1191,7,4,0.67,595,0,null,null,0,0,0,0
0,20120409,599,600,590,594.20001,11482,6833260,12,595.13001,752160,1260,7,6081100,10222,5,-4,-0.67,599,0,null,null,0,0,0,0
0,20120410,594.20001,598,594.20001,597,15345,9168165,7,597.46997,2837065.4,4745,3,6331100.05,10600,4,3.8,0.64,594.20001,0,null,null,0,0,0,0
0,20120411,598,600,595,599.40002,3368,2020446,6,599.89002,1981176,3302,5,39270,66,1,-2,-0.34,597,0,null,null,0,0,0,0
0,20120416,592.09998,592.09998,592.09998,592.09998,236,139735.59,4,592.09998,0,0,0,139735.59,236,4,-7.3,-1.22,599.40002,0,null,null,0,0,0,0
0,20120417,592,600,592,599.79999,40510,2.43E+07,18,599.75,2.39E+07,39924,14,348461.99,586,4,3,0.51,592.09998,0,null,null,0,0,0,0
0,20120418,600,650,599,605.5,4145,2492100,21,601.22998,2228150,3705,18,29950,50,2,50.2,8.37,599.79999,0,null,null,0,0,0,0
0,20120419,600,720,600,699.59998,9797,6636033,115,677.34998,5154623.94,7629,79,1481409,2168,36,93.5,15.44,605.5,0,null,null,0,0,0,0
0,20120420,694.90002,695,650,650.40002,3584,2407665.5,23,671.78003,362980.3,537,6,2044685.3,3047,17,-49.6,-7.09,699.59998,0,null,null,0,0,0,0
0,20120423,625.09998,669.90002,625.09998,660.40002,90,59252.2,11,658.35999,2664.7,4,2,56587.5,86,9,9.7,1.49,650.40002,0,null,null,0,0,0,0
0,20120424,660.20001,685,660.20001,682.09998,110,72806.9,6,661.88001,70130,106,2,2676.9,4,4,24.6,3.73,660.40002,0,null,null,0,0,0,0
0,20120425,690,690,681,684.20001,3589,2460006,22,685.42999,602334,877,13,1857672,2712,9,-1.1,-0.16,682.09998,0,null,null,0,0,0,0
0,20120426,681,700,680,696.90002,8457,5883399,49,695.67999,3810151.8,5466,39,2073247,2991,10,15.8,2.31,684.20001,0,null,null,0,0,0,0
0,20120427,699.90002,699.90002,690,690,1033,713064,17,690.28003,20994,30,6,692070,1003,11,-6.9,-0.99,696.90002,0,null,null,0,0,0,0
0,20120430,690,698,690,693.70001,2017,1394051,17,691.15002,8361,12,2,1385690,2005,15,3,0.43,690,0,null,null,0,0,0,0
0,20120502,690,690,690,690,300,207000,4,690,0,0,0,207000,300,4,-3.7,-0.53,693.70001,0,null,null,0,0,0,0
0,20120503,698,700,693,699.5,17915,1.25E+07,26,699.48999,0,0,0,0,0,0,9,1.3,690,0,null,null,0,0,0,0
0,20120504,689.90002,690.29999,689.90002,690,7101,4899700,7,690,3450000,5000,1,1449699.8,2101,6,-9.5,-1.36,699.5,0,null,null,0,0,0,0
0,20120508,697,699,680.09998,699,9290,6482653.5,24,697.81,6218426.01,8906,21,264227.4,384,3,9,1.3,690,1,null,null,0,0,0,0
0,20120509,691,691,685,685.5,557,383132,10,687.84998,69100,100,1,314032,457,9,-13,-1.86,699,0,null,null,0,0,0,0
0,20120510,690,695,686,690,20996,1.45E+07,9,689.98999,1.42E+07,20638,4,246750,358,5,4.5,0.66,685.5,0,null,null,0,0,0,0
0,20120511,695,695,690,692.59998,942,650033.5,12,690.06,10403,15,4,639630.5,927,8,4,0.58,690,0,null,null,0,0,0,0
0,20120514,692.59998,699,692.59998,699,8131,5660132.5,14,696.12,761864.7,1093,10,4898267.8,7038,4,6.4,0.92,692.59998,0,null,null,0,0,0,0
0,20120515,691.09998,698,691,694.40002,580,402613.91,12,694.15997,371518.6,535,7,31095.3,45,5,-1,-0.14,699,0,null,null,0,0,0,0
0,20120516,695,695,695,695,48,33360,1,695,33360,48,1,0,0,0,0.6,0.09,694.40002,0,null,null,0,0,0,0
0,20120517,695,730,695,715,989,689673,9,697.34003,689673,989,9,0,0,0,20,2.88,695,0,null,null,0,0,0,0
0,20120518,700,714,700,702.70001,5315,3723979,20,700.65002,468760,665,5,3255219,4650,15,-1,-0.14,715,0,null,null,0,0,0,0
0,20120521,700,700,700,700,7955,5568500,8,700,371000,530,3,5197500,7425,5,-2.7,-0.38,702.70001,0,null,null,0,0,0,0
0,20120522,695,699.90002,685,686.09998,2890,2006979.62,12,694.46002,2799.6,4,1,2004180,2886,11,-0.1,-0.01,700,0,null,null,0,0,0,0
