INS,DATE,OP,HIG,LOW,CLS,VOL,TOVR,NOTR,VWAP,CIT,CIV,CITR,COT,COV,COTR,CHG,PCHG,PCLS,ANN,SACT,PRV,LTP,MCAP,BBP,BAP,diff,TREND
0,20120315,143,143.5,142.75,143,88306,1.26E+07,49,143,6680995,34261,17,5953667,30540,32,0,0,143,0,null,null,0,0,0,0,0,0
0,20120316,143,143.75,142.5,142.5,1809319,2.59E+08,254,143.25,2.59E+07,132744,37,2.33E+08,1194960,217,-0.75,-0.67,143.25,0,null,null,0,0,0,0,-0.5,0
0,20120319,143,144.5,143,144.5,83707,1.20E+07,34,143.75,5493724.01,27944,16,6536613.01,33482,18,1.5,0.97,143,0,null,null,0,0,0,0,2,1
0,20120320,146.75,147.5,146.75,146.75,69571,1.02E+07,32,146.75,2572246.99,12855,20,7643060.18,38198,12,0,0,146.75,0,null,null,0,0,0,0,2.25,1
0,20120321,143,146.25,143,146.25,1434,206340,6,143.75,59500,300,2,146840,753,4,-0.5,-0.5,146.75,0,null,null,0,0,0,0,-0.5,0
0,20120322,143,146.25,139.5,139.5,217090,3.06E+07,64,141,1459416.03,7649,17,2.91E+07,151655,47,-3.5,-2.51,143,0,null,null,0,0,0,0,-6.75,0
0,20120323,140.25,141,140.25,141,209291,2.95E+07,73,141,5010688.6,26098,26,2.45E+07,127483,47,0.75,0.47,140.25,0,null,null,0,0,0,0,1.5,1
0,20120326,145.75,145.75,141.25,143,70148,1.01E+07,16,143.5,9743180,49834,11,320309.21,1642,5,0.25,0.15,142.75,0,null,null,0,0,0,0,2,1
0,20120327,146.5,147.25,146.5,146.75,225697,3.31E+07,61,146.75,1.24E+07,62199,25,2.05E+07,102521,35,0.25,0.15,146.5,0,null,null,0,0,0,0,3.75,1
0,20120328,147.5,148.5,147.5,0,19061,2812175.5,16,147.5,87973.5,436,7,2724202,13552,9,-147.5,0.5,147.5,0,null,null,0,0,0,0,-146.75,0
0,20120329,151.75,153.75,150.5,0,87931,1.34E+07,56,152.5,1.14E+07,55016,37,1964585.73,9510,19,-150.75,2.05,150.75,0,null,null,0,0,0,0,0,0
0,20120330,153.25,154,153.25,0,509710,7.84E+07,68,153.75,5.71E+07,271823,55,2.14E+07,102110,12,-153,0.72,153,0,null,null,0,0,0,0,0,0
0,20120402,151.25,153,151.25,0,66590,1.02E+07,18,153,2015873,9698,9,8166107.87,39168,9,-151.25,1.21,151.25,0,null,null,0,0,0,0,0,0
0,20120403,153,153,153,0,33612,5142331,14,153,2160363.97,10364,3,2981967,14302,11,-153,0.05,153,0,null,null,0,0,0,0,0,0
0,20120404,153,153.75,152.75,153.25,225092,3.45E+07,67,153.25,7831631.52,37476,17,2.67E+07,127700,50,0,0,153.25,0,null,null,0,0,0,0,153.25,1
0,20120405,153.25,154.75,152.75,153.5,351686,5.41E+07,100,153.75,3.59E+07,171610,73,1.81E+07,86463,27,0.25,0,153.25,0,null,null,0,0,0,0,0.25,1
0,20120409,154,154,153.25,153.25,55582,8546761,39,153.75,4989055.69,23769,18,3557705,17019,21,-0.25,-0.14,153.5,0,null,null,0,0,0,0,-0.25,0
0,20120410,153,154,152.75,153.25,35478,5433865,38,153.25,632675,3025,16,4801189.92,23010,22,0,0,153.25,0,null,null,0,0,0,0,0,0
0,20120411,153.25,154,153.25,153.5,28005,4300279,20,153.5,1180313.6,5635,8,3224465.35,15416,13,0.25,0.24,153.25,0,null,null,0,0,0,0,0.25,1
0,20120416,152.75,154,152.75,153.75,500550,7.69E+07,121,153.75,1.62E+07,77421,39,6.07E+07,289890,82,0.25,0.24,153.5,0,null,null,0,0,0,0,0.25,1
0,20120417,153.75,153.75,153.5,153.5,971107,1.49E+08,168,153.75,7.00E+07,334312,84,7.92E+07,378300,84,-0.25,-0.19,153.75,0,null,null,0,0,0,0,-0.25,0
0,20120418,153.75,154,152.75,153,181422,2.78E+07,61,153.25,1.66E+07,79585,19,1.06E+07,50745,37,-0.5,-0.43,153.5,0,null,null,0,0,0,0,-0.5,0
0,20120419,153.25,153.25,150.5,151.5,404278,6.16E+07,69,152.5,1.14E+07,54822,30,5.02E+07,241844,39,-1.5,-1.68,153,0,null,null,0,0,0,0,-1.5,0
0,20120420,151.75,151.75,151.25,151.25,287815,4.36E+07,57,151.5,9295205,44908,15,3.43E+07,166296,42,-0.25,-0.24,151.5,0,null,null,0,0,0,0,-0.25,0
0,20120423,152.25,152.25,150.75,151.25,131391,1.99E+07,26,151.25,3604855.97,17501,12,1.63E+07,78917,14,0,0,151.25,0,null,null,0,0,0,0,0,0
0,20120424,151.5,151.5,150.5,151.25,395125,5.97E+07,101,151.25,2.28E+07,110685,47,3.69E+07,179264,54,0,0,151.25,0,null,null,0,0,0,0,0,0
0,20120425,151.25,151.5,150.5,150.75,335698,5.07E+07,153,151.25,1.10E+07,53177,55,3.98E+07,193163,98,-0.5,-0.44,151.25,0,null,null,0,0,0,0,-0.5,0
0,20120426,149.75,150,149,149.5,192884,2.89E+07,61,149.75,1.28E+07,62989,23,1.60E+07,78553,38,-1.25,-0.88,150.75,0,null,null,0,0,0,0,-1.25,0
0,20120427,149,150.5,149,149.5,470810,7.04E+07,111,149.75,2.49E+07,122104,37,4.55E+07,223383,74,0,-0.2,149.5,0,null,null,0,0,0,0,0,0
0,20120430,149.5,149.75,148,149,803841,1.20E+08,137,149,7.20E+07,354851,80,4.77E+07,235019,57,-0.5,-0.29,149.5,0,null,null,0,0,0,0,-0.5,0
