INS,DATE,OP,HIG,LOW,CLS,VOL,TOVR,NOTR,VWAP,CIT,CIV,CITR,COT,COV,COTR,CHG,PCHG,PCLS,ANN,SACT,PRV,LTP,MCAP,BBP,BAP
0,20120315,25.5,25.5,25.5,25.5,100,2550,1,25.5,195539,7178,12,2550,100,1,0,0,25.5,0,null,null,0,0,0,0
0,20120316,28.4,28.4,28.4,28.4,200,5680,1,28.4,2890,100,1,8000,300,3,0.6,2.16,27.799999,0,null,null,0,0,0,0
0,20120319,28.799999,28.799999,28.799999,28.799999,401,11548.8,2,28.799999,11548.8,401,2,0,0,0,0.5,1.77,28.299999,0,null,null,0,0,0,0
0,20120321,26.9,26.9,26.9,26.9,100,2690,1,26.9,2690,100,1,0,0,0,0.1,0.37,26.799999,0,null,null,0,0,0,0
0,20120322,25,25,25,25,200,5000,1,25,5000,200,1,0,0,0,0,0,25,0,null,null,0,0,0,0
0,20120323,23,23,23,23,200,4600,1,23,0,0,0,4600,200,1,-0.8,-3.36,23.8,0,null,null,0,0,0,0
0,20120326,26.9,26.9,26.799999,26.799999,780,20942,9,26.85,5380,200,1,15562,580,8,0,0,26.8,0,null,null,0,0,0,0
0,20120327,27,27,27,27,100,2700,1,27,2700,100,1,0,0,0,0.7,2.66,26.3,0,null,null,0,0,0,0
0,20120329,24,24,24,0,100,2400,1,24,0,0,0,2400,100,1,0.8,3.45,23.2,0,null,null,0,0,0,0
0,20120404,24,24,23.6,23.9,4266,102104,4,23.93,0,0,0,102104,4266,4,-0.4,-1.67,24,0,null,null,0,0,0,0
0,20120405,24,24,24,24,200,4800,1,24,4800,200,1,0,0,0,0.1,0.42,23.9,0,null,null,0,0,0,0
0,20120409,23.5,23.9,23.5,23.7,4024,94644,4,23.52,4780,200,1,89864,3824,3,-0.5,-2.08,24,0,null,null,0,0,0,0
0,20120411,22.4,22.4,22.4,22.4,5,112,1,22.4,0,0,0,112,5,1,-1.3,-5.49,23.7,0,null,null,0,0,0,0
0,20120417,22.4,22.6,22.4,22.5,5598,126205,9,22.54,17980,800,2,108225,4798,7,0.1,0.45,22.4,0,null,null,0,0,0,0
0,20120418,22.6,23.3,22.6,22.7,1250,28385,4,22.71,0,0,0,24890,1100,3,0.2,0.89,22.5,0,null,null,0,0,0,0
0,20120419,22.7,23,22.6,22.6,2282,51858.2,8,22.72,5735,250,3,46123.2,2032,5,-0.1,-0.44,22.7,0,null,null,0,0,0,0
0,20120420,23,26,23,24,6950,170780,17,24.57,140860,5750,12,29920,1200,5,1.4,6.19,22.6,0,null,null,0,0,0,0
0,20120423,23.9,23.9,23.5,23.5,4300,101330,8,23.57,21542.4,909,3,79787.6,3391,5,-0.5,-2.08,24,0,null,null,0,0,0,0
0,20120424,22.4,22.9,22,22.9,8115,180963.5,20,22.3,40983.5,1805,6,139980,6310,14,-0.6,-2.55,23.5,0,null,null,0,0,0,0
0,20120425,23,23,22.7,22.7,725,16465,3,22.71,16465,725,3,0,0,0,-0.2,-0.87,22.9,0,null,null,0,0,0,0
0,20120426,21.5,22,21.5,22,1200,26050,5,21.71,8800,400,2,17250,800,3,-0.7,-3.08,22.7,0,null,null,0,0,0,0
0,20120427,21.4,21.8,21.1,21.5,5205,111389,12,21.4,21780,1000,3,89609,4205,9,-0.6,-2.73,22,0,null,null,0,0,0,0
0,20120430,21.5,22,21.1,22,19650,430735,10,21.92,395600,18000,3,35135,1650,7,0.5,2.33,21.5,0,null,null,0,0,0,0
0,20120502,22.8,22.8,21,21.1,1681,35503.4,10,21.12,6048,288,2,29455.4,1393,8,-1,-4.55,22,0,null,null,0,0,0,0
0,20120503,20.2,20.2,19.7,19.7,6243,124798.8,17,19.99,0,0,0,0,0,0,-1.4,-6.64,21.1,0,null,null,0,0,0,0
0,20120504,19.5,19.5,17.8,18.1,71378,1296322.12,75,18.16,399870.39,21858,29,896451.69,49520,46,-0.7,-3.55,19.7,0,null,null,0,0,0,0
0,20120508,18,18.5,17.8,18.1,5283,95267.4,11,18.03,18500,1000,1,76767.4,4283,10,0.4,2.21,18.1,0,null,null,0,0,0,0
0,20120509,17.9,17.9,17.9,17.9,200,358,2,17.9,0,0,0,3580,200,2,-0.2,-1.1,18.1,0,null,null,0,0,0,0
0,20120510,18,18,16.2,16.4,15084,257276,14,17.06,0,0,0,257276,15084,14,-1.7,-9.5,17.9,0,null,null,0,0,0,0
0,20120511,17,17,15.5,15.5,5900,93361.5,20,15.82,7911.5,500,5,85450,5400,15,-0.9,-5.49,16.4,0,null,null,0,0,0,0
0,20120514,16.2,16.2,15.5,15.5,1290,20135,5,15.61,3240,200,1,16895,1090,4,0,0,15.5,0,null,null,0,0,0,0
0,20120515,16,16,16,16,302,4832,1,16,4832,302,1,0,0,0,0.5,3.23,15.5,0,null,null,0,0,0,0
0,20120516,15.5,18,15.5,17.3,16402,275880.41,48,16.82,226285.4,13482,38,49595,2920,10,2,12.5,16,0,null,null,0,0,0,0
0,20120517,17.8,17.9,17.1,17.5,2313,40562.3,5,17.54,23240,1300,3,17322.3,1013,2,-0.2,-1.16,17.3,0,null,null,0,0,0,0
0,20120518,17,17.6,16.3,17.6,2001,33697.6,7,16.84,20587.6,1201,4,13110,800,3,0.1,0.57,17.5,0,null,null,0,0,0,0
0,20120521,17.1,17.3,17.1,17.3,520,8992,2,17.29,8650,500,1,342,20,1,-0.3,-1.7,17.6,0,null,null,0,0,0,0
0,20120522,16.5,16.5,16.3,16.3,8199,133753.7,9,16.31,0,0,0,133753.69,8199,9,-1,-5.78,17.3,0,null,null,0,0,0,0
